A,Z,HL,E,I
181,82,0.045,7065,100
183,82,0.415,6704,98
183,82,0.415,6868,2.5
183,82,0.535,6576,24
183,82,0.535,6777,66
185,82,6.3,6288,19
185,82,6.3,6486,15
185,82,6.3,6548,0.2
186,82,4.82,5988,0.03
186,82,4.82,6014,0.08
186,82,4.82,6331,40
187,82,15.2,5993,2.8
187,82,15.2,6194,4.2
187,82,18.3,6077,12.0
188,82,25.1,5614,0.093
188,82,25.1,5633,0.0088
188,82,25.1,5983,9.2
190,82,71,5060,5.6E-5
190,82,71,5181,3.4E-4
190,82,71,5581,0.40
191,82,79.8,5290,0.013
202,82,1.657E12,2545,1
210,82,7.00579E8,3720,1.9E-6
186,83,0.0098,7263,100
186,83,0.0098,7369,1.0
187,83,2.9E-4,7721,50
188,83,0.06,6889,0.33
188,83,0.06,6992,97.70
188,83,0.06,7106,2.05
188,83,0.265,6813,91.2
188,83,0.265,6995,1.4
188,83,0.265,7232,4.1
188,83,0.265,7302,3.3
189,83,0.005,7114,10
189,83,0.005,7294,73
189,83,0.674,6550,0.9
189,83,0.674,6670.9,71
189,83,0.674,6833,1.0
189,83,0.674,7115,4.5
190,83,6.2,6456,68
190,83,6.2,6734,1.01
190,83,6.2,6819,1.15
191,83,0.125,6871,68
192,83,34.6,6060,12
192,83,34.6,6245,0.36
192,83,39.6,6052,9
192,83,39.6,6081,0.65
192,83,39.6,6253,0.054
192,83,39.6,6348,0.23
193,83,3.2,6475,84
193,83,63.6,5899,2.1
193,83,63.6,6174,0.09
194,83,95,5645,0.46
194,83,95,5799,0.0027
194,83,115,5335,3.0E-4
194,83,115,5599,0.18
194,83,115,5660,0.0040
194,83,115,5781,0.0054
194,83,115,5892,0.007
195,83,87,5772,0.05
195,83,87,6106,33
195,83,183,5420,0.027
195,83,183,5713,0.0027
196,83,240,5112,3.8E-4
196,83,307.8,5153,0.0012
197,83,302.4,5776,6.E+1
199,83,1482,5484,0.0100
201,83,3546,5240,0.30
210,83,433036.8,4656,7.9E-5
210,83,433036.8,4694,5.3E-5
210,83,9.594E13,4100,0.002
210,83,9.594E13,4230,8E-4
210,83,9.594E13,4268,0.006
210,83,9.594E13,4420,0.21
210,83,9.594E13,4568,3.9
210,83,9.594E13,4582,1.4
210,83,9.594E13,4909,39.5
210,83,9.594E13,4946,55
211,83,128.4,5299.4,9.E-4
211,83,128.4,6278.2,16.19
211,83,128.4,6622.9,83.54
212,83,1500,5750,0.47
212,83,1500,6010,5.0
212,83,1500,6300,26.0
212,83,1500,6340,35.0
212,83,3633,5302,4.0E-5
212,83,3633,5345,3.6E-4
212,83,3633,5481,0.004672
212,83,3633,5607,0.4061
212,83,3633,5626,0.05643
212,83,3633,5768,0.6110
212,83,3633,6050.78,25.13
212,83,3633,6089.88,9.75
213,83,2735.4,5549,0.15
213,83,2735.4,5869,1.94
214,83,1194,4941,5.3E-5
214,83,1194,5023,4.4E-5
214,83,1194,5184,1.28E-4
214,83,1194,5273,0.00122
214,83,1194,5452,0.0113
214,83,1194,5516,0.0082
188,84,2.8E-4,7353,20
188,84,2.8E-4,7911,80
189,84,0.0035,7259,80
189,84,0.0035,7309,12
189,84,0.0035,7532,8
190,84,0.00245,6896,0.30
190,84,0.00245,7012,3.3
190,84,0.00245,7537,96.4
191,84,0.022,6966,7.9
191,84,0.022,7334,76
191,84,0.022,7336,14.9
191,84,0.093,6790,0.5
191,84,0.093,6815,9.6
191,84,0.093,6888,36
191,84,0.093,6909,3.7
191,84,0.093,7376,45.7
192,84,0.0332,6416,0.7
192,84,0.0332,6611,1.43
192,84,0.0332,7167,97.3
193,84,0.245,6375,0.8
193,84,0.245,7002,99
193,84,0.37,6420,0.7
193,84,0.37,6948,99
194,84,0.392,6194,0.22
194,84,0.392,6843,93
195,84,1.92,6050,0.18
195,84,1.92,6699,90
195,84,4.64,6606,75
196,84,5.6,5687,0.003
196,84,5.6,5769,0.0207
196,84,5.6,6521.9,94
197,84,53.6,6281,44
198,84,106.2,5270,7.6E-4
198,84,106.2,6182.0,57.0
199,84,250.2,6059,39
199,84,328.2,5952,12.0
200,84,690,5861.9,11.1
201,84,534,5786,2.9
